epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,6522.2,0.67293,0.3502,0.95262,0.99657,0.99617,0.99267,0.84472,0.6864,0.26756,0.97679,0.00208,0.00208,0.00208
162,6570.06,0.66536,0.35023,0.96343,0.99619,0.99315,0.9927,0.84541,0.68427,0.27027,0.97742,0.0020305,0.0020305,0.0020305
163,6617.56,0.66292,0.34516,0.96311,0.99637,0.99315,0.99273,0.84758,0.68696,0.26845,0.97845,0.001981,0.001981,0.001981
164,6661.13,0.65836,0.34941,0.96052,0.9963,0.99315,0.99273,0.84571,0.68127,0.26602,0.97679,0.0019315,0.0019315,0.0019315
165,6698.57,0.65497,0.34387,0.95639,0.99636,0.99315,0.99263,0.84456,0.6806,0.26674,0.97751,0.001882,0.001882,0.001882
166,6735.97,0.64783,0.34417,0.94908,0.99655,0.99315,0.9927,0.84537,0.68545,0.26598,0.97979,0.0018325,0.0018325,0.0018325
167,6773.43,0.65411,0.34621,0.9544,0.99656,0.99269,0.99273,0.84211,0.68746,0.26606,0.9817,0.001783,0.001783,0.001783
168,6810.73,0.64022,0.33791,0.94604,0.99635,0.98973,0.99262,0.84672,0.68588,0.26682,0.98115,0.0017335,0.0017335,0.0017335
169,6847.92,0.64239,0.33716,0.94601,0.99644,0.98973,0.99259,0.84516,0.68457,0.26684,0.98179,0.001684,0.001684,0.001684
170,6885.16,0.64563,0.34182,0.94979,0.99655,0.9897,0.99259,0.84183,0.68224,0.26393,0.98152,0.0016345,0.0016345,0.0016345
171,6922.31,0.63425,0.33803,0.9394,0.99655,0.98963,0.99252,0.84036,0.68045,0.26588,0.97972,0.001585,0.001585,0.001585
172,6959.41,0.63741,0.33874,0.94811,0.99655,0.98955,0.99255,0.84095,0.67836,0.26512,0.97885,0.0015355,0.0015355,0.0015355
173,6996.64,0.62623,0.32973,0.94014,0.99646,0.98973,0.99269,0.84405,0.67967,0.26338,0.97939,0.001486,0.001486,0.001486
174,7033.82,0.63384,0.33486,0.94506,0.99637,0.98973,0.99273,0.84425,0.68061,0.26508,0.97974,0.0014365,0.0014365,0.0014365
175,7071.09,0.61977,0.32431,0.93363,0.99628,0.98973,0.99304,0.84585,0.68188,0.26492,0.97947,0.001387,0.001387,0.001387
176,7108.25,0.62827,0.32841,0.94007,0.9963,0.98973,0.99297,0.84849,0.6823,0.26588,0.97909,0.0013375,0.0013375,0.0013375
177,7145.46,0.63387,0.33251,0.94694,0.99631,0.98973,0.99304,0.84875,0.68135,0.26782,0.97846,0.001288,0.001288,0.001288
178,7182.72,0.62706,0.32752,0.93821,0.99977,0.99315,0.995,0.84803,0.67877,0.26777,0.97685,0.0012385,0.0012385,0.0012385
179,7220.02,0.61924,0.32785,0.9382,0.99975,0.99315,0.995,0.84649,0.67867,0.27059,0.97691,0.001189,0.001189,0.001189
180,7257.18,0.62125,0.32528,0.93903,0.99978,0.99315,0.995,0.84714,0.67961,0.26855,0.97704,0.0011395,0.0011395,0.0011395
181,7294.42,0.61349,0.3202,0.93368,0.99975,0.99315,0.995,0.84797,0.68039,0.26903,0.97652,0.00109,0.00109,0.00109
182,7331.88,0.62069,0.3254,0.9385,0.99979,0.99315,0.995,0.84531,0.6795,0.26736,0.97651,0.0010405,0.0010405,0.0010405
183,7378.41,0.60524,0.31603,0.9335,0.99657,0.99638,0.995,0.84623,0.67828,0.26671,0.97589,0.000991,0.000991,0.000991
