epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,4478.47,0.34387,0.23778,0.93111,0.99849,0.99609,0.99499,0.98452,0.22476,0.15565,0.81662,0.00072488,0.00072488,0.00072488
163,4508.2,0.3438,0.23654,0.93353,0.99983,0.99609,0.995,0.98424,0.22483,0.15499,0.81536,0.00071696,0.00071696,0.00071696
164,4538.39,0.34082,0.23851,0.93535,0.99984,0.99609,0.995,0.98424,0.22152,0.15069,0.81151,0.00070904,0.00070904,0.00070904
165,4568.41,0.34455,0.2395,0.93354,0.99984,0.99609,0.995,0.98354,0.21984,0.1504,0.8121,0.00070112,0.00070112,0.00070112
166,4598,0.33298,0.23243,0.92745,0.99989,0.99609,0.995,0.98467,0.22088,0.1535,0.81408,0.0006932,0.0006932,0.0006932
167,4627.79,0.34175,0.23897,0.93268,0.99987,0.99609,0.995,0.98347,0.21741,0.15478,0.81137,0.00068528,0.00068528,0.00068528
168,4657.52,0.33356,0.23063,0.92311,0.99988,0.99609,0.995,0.98308,0.2208,0.15416,0.81147,0.00067736,0.00067736,0.00067736
169,4686.96,0.32717,0.23055,0.92667,0.99987,0.99609,0.995,0.98296,0.22215,0.15271,0.81607,0.00066944,0.00066944,0.00066944
170,4716.47,0.33024,0.22967,0.92714,0.99989,0.99609,0.995,0.98488,0.22082,0.15363,0.81315,0.00066152,0.00066152,0.00066152
171,4745.99,0.32436,0.22418,0.92727,0.99988,0.99609,0.995,0.98658,0.21711,0.15219,0.81126,0.0006536,0.0006536,0.0006536
172,4775.24,0.31965,0.22755,0.92483,0.99988,0.99609,0.995,0.98514,0.21623,0.15584,0.80248,0.00064568,0.00064568,0.00064568
173,4805.22,0.31517,0.22113,0.9221,0.99986,0.99609,0.995,0.98524,0.21235,0.15012,0.80274,0.00063776,0.00063776,0.00063776
174,4835.29,0.32082,0.22254,0.92357,0.99988,0.99609,0.995,0.98495,0.20878,0.14615,0.80206,0.00062984,0.00062984,0.00062984
